camera_name,external_camera_id,camera_type,installation_purpose,owning_unit,district,road_or_junction,view_direction,latitude,longitude,source_type,installation_date,permitted_local_roles,camera_serial_number,camera_vendor,camera_model,police_station_or_zone,local_admin_contact,maintenance_agency,installation_vendor,address_or_landmark,coverage_description,entry_exit_zone_description,vms_name,vms_vendor,resolution,fps,codec,retention_days,timezone,commissioning_date,attachment_ref_site_survey,attachment_ref_installation_certificate,attachment_ref_camera_photograph,x_geo_confidence,x_overlay_label,x_evidence,x_hls_url,x_rtsp_url,x_stream_live
"Chimanbhai Patel Bridge, RTO Circle, Ranip",GRID-001,PTZ,traffic monitoring,Ahmedabad Grid Unit,Ahmedabad,Chimanbhai Patel Bridge,west,23.068493,72.580767,RTSP,2026-08-25,department_operator | district_supervisor,,,,Ahmedabad Control Room,,,,"Chimanbhai Patel Bridge, RTO Circle, Ranip",urban arterial,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,verified,Chiman bhai Bridge CSITMS-32_PTZ2,operator-supplied survey; overlay CSITMS-32_PTZ2,https://live.corp8.cloud/live/stream/1/index.m3u8,rtsp://live.corp8.cloud:8554/stream/1,true
Janpath T-Junction,GRID-002,PTZ,junction monitoring,Ahmedabad Grid Unit,Ahmedabad,Janpath,north,23.030000,72.570000,RTSP,2026-08-25,department_operator | district_supervisor,,,,Ahmedabad Control Room,,,,Janpath T-Junction,urban T-junction,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,estimated,Janpath T CSITMS-10_PTZ2,overlay Janpath T CSITMS-10_PTZ2; coords estimated,https://live.corp8.cloud/live/stream/2/index.m3u8,rtsp://live.corp8.cloud:8554/stream/2,true
O.N.G.C. Office,GRID-003,bullet,public safety,Ahmedabad Grid Unit,Ahmedabad,ONGC Office Road,east,23.103638,72.586766,RTSP,2026-08-25,department_operator | district_supervisor,,,,Ahmedabad Control Room,,,,O.N.G.C. Office,service road,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,geocoded,O.N.G.C. Office BS-103_B1,overlay BS-103_B1; OSM ONGC stop,https://live.corp8.cloud/live/stream/3/index.m3u8,rtsp://live.corp8.cloud:8554/stream/3,true
Paldi Junction (V.S. Hospital approach),GRID-004,fixed,junction monitoring,Ahmedabad Grid Unit,Ahmedabad,Paldi Char Rasta,north,23.016500,72.565500,RTSP,2026-08-25,department_operator | district_supervisor,,,,Ahmedabad Control Room,,,,Paldi Junction (V.S. Hospital approach),urban junction with BRTS,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,landmark_derived,(no overlay),"frame signage PALDI JUNCTION and V.S. Hospital | OSM-VERIFIED: OSM Paldi cluster; Gujarat Blood Bank/VS Hospital at 23.016535,72.566382",https://live.corp8.cloud/live/stream/4/index.m3u8,rtsp://live.corp8.cloud:8554/stream/4,true
Visat Three-Way Junction,GRID-005,PTZ,junction monitoring,Ahmedabad Grid Unit,Ahmedabad,Visat Circle,south,23.103000,72.587500,RTSP,2026-08-25,department_operator | district_supervisor,,,,Ahmedabad Control Room,,,,Visat Three-Way Junction,highway junction,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,landmark_derived,Visat teen Rasta CSITMS-31_PTZ1,"overlay CSITMS-31_PTZ1; gantry GANDHINAGAR/RTO CIRCLE/SABARMATI | OSM-VERIFIED: no OSM junction node; anchored to ONGC hit 23.103638,72.586766",https://live.corp8.cloud/live/stream/5/index.m3u8,rtsp://live.corp8.cloud:8554/stream/5,true
Madhuram Bypass Road (from Aksharvadi),GRID-006,fixed,highway monitoring,Bhavnagar Grid Unit,Bhavnagar,Madhuram Bypass Road,south,21.769769,72.145940,RTSP,2026-08-25,department_operator | district_supervisor,,,,Bhavnagar Control Room,,,,Madhuram Bypass Road (from Aksharvadi),bypass carriageway,,Sentinel Camera Grid,MediaMTX,1920x1080,25,H.265,,Asia/Kolkata,,,,,geocoded,Madhuram Bypass Road Fix-2 (From Aksharvadi),OVERLAY CONTRADICTS catalogue label Timbavadi-Junagadh | OSM-VERIFIED: OSM 'Madhuram Hospital' Bhavnagar CONFIRMS overlay over catalogue label,https://live.corp8.cloud/live/stream/6/index.m3u8,rtsp://live.corp8.cloud:8554/stream/6,true
Hero Showroom (Bhavani Char Rasta approach),GRID-007,fixed,traffic monitoring,Gir Somnath Grid Unit,Gir Somnath,Bhavani Char Rasta,east,20.910000,70.367000,RTSP,2026-08-25,department_operator | district_supervisor,,,,Gir Somnath Control Room,,,,Hero Showroom (Bhavani Char Rasta approach),town road,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,estimated,HERO SHOWROOM FIX-1 / Bhavani Char Rasta to Hero,overlay states view: Bhavani Char Rasta to Hero,https://live.corp8.cloud/live/stream/7/index.m3u8,rtsp://live.corp8.cloud:8554/stream/7,true
Majevadi Gate,GRID-008,PTZ,junction monitoring,Junagadh Grid Unit,Junagadh,Majevadi Gate,north,21.517000,70.467000,RTSP,2026-08-25,department_operator | district_supervisor,,,,Junagadh Control Room,,,,Majevadi Gate,town gate junction,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,estimated,Majevadi Gate PTZ-2,overlay Majevadi Gate PTZ-2,https://live.corp8.cloud/live/stream/8/index.m3u8,rtsp://live.corp8.cloud:8554/stream/8,true
New Bypass near 66KV Substation (from Vadla Fatak),GRID-009,fixed,highway monitoring,Junagadh Grid Unit,Junagadh,New Bypass Road,south,21.496747,70.402476,RTSP,2026-08-25,department_operator | district_supervisor,,,,Junagadh Control Room,,,,New Bypass near 66KV Substation (from Vadla Fatak),bypass,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,geocoded,New By PassNr 66KV FIX-2 (From Vadla Fatak),overlay names 66KV substation and Vadla Fatak | OSM-VERIFIED: OSM node named 'Vadla fatak' matches overlay text exactly,https://live.corp8.cloud/live/stream/9/index.m3u8,rtsp://live.corp8.cloud:8554/stream/9,true
Char Chowk (from Diparti Furniture),GRID-010,fixed,junction monitoring,Junagadh Grid Unit,Junagadh,Char Chowk Road,east,21.518500,70.460000,RTSP,2026-08-25,department_operator | district_supervisor,,,,Junagadh Control Room,,,,Char Chowk (from Diparti Furniture),market junction,,Sentinel Camera Grid,MediaMTX,,,,,Asia/Kolkata,,,,,estimated,Char Chowk FIX-2 (From Diparti Furniture),overlay Char Chowk FIX-2,https://live.corp8.cloud/live/stream/10/index.m3u8,rtsp://live.corp8.cloud:8554/stream/10,true
