camera_no,site_name,district,latitude,longitude,google_maps_link,facing,facing_basis,geo_confidence,geo_source,stream_url_to_open,rtsp_url,codec,resolution,fps,stream_status
1,"Chimanbhai Patel Bridge, RTO Circle, Ranip",Ahmedabad,23.068493,72.580767,"https://www.google.com/maps?q=23.068493,72.580767",West,operator survey,verified,your survey; OSM 'RTO Circle' bus stop 12.3 m away confirms it,https://live.corp8.cloud/live/stream/1/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/1,not probed,not probed,not probed,LIVE
2,Janpath T-Junction,Ahmedabad,23.030000,72.570000,"https://www.google.com/maps?q=23.030000,72.570000",North,unconfirmed,estimated,no OSM match for 'Janpath'; overlay CSITMS-10_PTZ2,https://live.corp8.cloud/live/stream/2/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/2,not probed,not probed,not probed,LIVE
3,O.N.G.C. Office,Ahmedabad,23.103638,72.586766,"https://www.google.com/maps?q=23.103638,72.586766",East,unconfirmed,geocoded,OSM bus stop 'ONGC',https://live.corp8.cloud/live/stream/3/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/3,not probed,not probed,not probed,LIVE
4,Paldi Junction (V.S. Hospital approach),Ahmedabad,23.016500,72.565500,"https://www.google.com/maps?q=23.016500,72.565500",North,sign 'V.S. Hospital <-',landmark_derived,"OSM Paldi cluster; Gujarat Blood Bank / VS Hospital 23.016535,72.566382",https://live.corp8.cloud/live/stream/4/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/4,not probed,not probed,not probed,LIVE
5,Visat Three-Way Junction (Motera),Ahmedabad,23.103000,72.587500,"https://www.google.com/maps?q=23.103000,72.587500",North,oncoming traffic on image right (left-hand drive),landmark_derived,gantry GANDHINAGAR/RTO CIRCLE/SABARMATI + MOTERA; anchored to ONGC hit,https://live.corp8.cloud/live/stream/5/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/5,not probed,not probed,not probed,LIVE
6,Madhuram Bypass Road (from Aksharvadi),Bhavnagar,21.769769,72.145940,"https://www.google.com/maps?q=21.769769,72.145940",South,overlay 'From Aksharvadi',geocoded,OSM 'Madhuram Hospital' Bhavnagar - overlay beats catalogue label,https://live.corp8.cloud/live/stream/6/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/6,H.265,1920x1080,25.0,LIVE
7,Hero Showroom (Bhavani Char Rasta approach),Gir Somnath,20.910000,70.367000,"https://www.google.com/maps?q=20.910000,70.367000",East,overlay 'Bhavani Char Rasta to Hero',estimated,no OSM match for 'Bhavani',https://live.corp8.cloud/live/stream/7/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/7,not probed,not probed,not probed,LIVE
8,Majevadi Gate,Junagadh,21.517000,70.467000,"https://www.google.com/maps?q=21.517000,70.467000",North,unconfirmed,estimated,"OSM 'Majevadi' is a village 10 km away - REJECTED, frame shows city gate",https://live.corp8.cloud/live/stream/8/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/8,not probed,not probed,not probed,LIVE
9,New Bypass at 66KV Substation (from Vadla Fatak),Junagadh,21.496747,70.402476,"https://www.google.com/maps?q=21.496747,70.402476",South,overlay 'From Vadla Fatak',geocoded,OSM node named 'Vadla fatak' - exact name match to overlay,https://live.corp8.cloud/live/stream/9/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/9,not probed,not probed,not probed,LIVE
10,Char Chowk (from Diparti Furniture),Junagadh,21.518500,70.460000,"https://www.google.com/maps?q=21.518500,70.460000",East,overlay 'From Diparti Furniture',estimated,no OSM match for 'Char Chowk',https://live.corp8.cloud/live/stream/10/index.m3u8?cookieCheck=1,rtsp://live.corp8.cloud:8554/stream/10,not probed,not probed,not probed,LIVE
