image_id,feed_id,frame_number,frame_path,bbox,plate_width_px,plate_height_px,plate_area_px,plate_area_frac,plate_aspect,plate_size_category,detection_confidence,detection_source,blur_score,brightness,contrast,glare,crop_quality,skew_deg,angle_category,touches_border,lighting,vehicles_in_frame,readability,ocr_text,ocr_confidence,difficulty,needs_human_review,review_reason,split,image_file,unit,frame_blur_score,frame_brightness,frame_contrast,visibility,occlusion,ocr_readable,difficulty_category,label_source,adjudicated_by,verified_by_human,proposal_id
cam01_10001_309_648_156x118,cam01,10001,D:\tessttt\testttttt\reports\deep\frames\cam01_0001.jpg,"[30.3, 63.0, 39.4, 68.2]",9.1,5.2,47.32,0.0026,1.75,VERY_SMALL,0.6327,vehicle_crop,3579.9111,78.8444,30.0998,0.0,0.5046,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'low_light', 'low_contrast', 'unreadable']",False,,val,images/val/cam01_10001_309_648_156x118.jpg,vehicle_crop,890.787,137.72,75.68,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|low_light|low_contrast|unreadable,adjudicated_proposal,vlm,False,p000000
cam01_10002_698_631_115x100,cam01,10002,D:\tessttt\testttttt\reports\deep\frames\cam01_0002.jpg,"[33.1, 53.9, 48.2, 58.7]",15.2,4.9,74.48,0.0065,3.102,SMALL,0.2037,vehicle_crop,1556.1838,87.7067,49.0251,0.0,0.5893,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_confidence', 'unreadable']",False,,val,images/val/cam01_10002_698_631_115x100.jpg,vehicle_crop,904.567,137.13,76.32,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_confidence|unreadable,adjudicated_proposal,vlm,False,p000001
cam01_10004_685_685_120x139,cam01,10004,D:\tessttt\testttttt\reports\deep\frames\cam01_0004.jpg,"[71.9, 98.8, 82.5, 106.6]",10.5,7.8,81.9,0.0049,1.3462,SMALL,0.2828,vehicle_crop,2659.2557,86.1477,37.8425,0.0,0.5424,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_confidence', 'unreadable']",False,,val,images/val/cam01_10004_685_685_120x139.jpg,vehicle_crop,854.857,140.31,77.48,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_confidence|unreadable,adjudicated_proposal,vlm,False,p000003
cam01_10005_756_664_102x113,cam01,10005,D:\tessttt\testttttt\reports\deep\frames\cam01_0005.jpg,"[51.7, 79.4, 59.8, 83.5]",8.0,4.1,32.8,0.0028,1.9512,VERY_SMALL,0.2914,vehicle_crop,756.874,56.0938,13.7463,0.0,0.4232,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'low_light', 'low_contrast', 'low_confidence', 'unreadable']",False,,val,images/val/cam01_10005_756_664_102x113.jpg,vehicle_crop,628.736,136.7,78.52,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|low_light|low_contrast|low_confidence|unreadable,adjudicated_proposal,vlm,False,p000005
cam01_10008_968_736_162x149,cam01,10008,D:\tessttt\testttttt\reports\deep\frames\cam01_0008.jpg,"[58.8, 99.5, 94.1, 110.9]",35.3,11.3,398.89,0.0165,3.1239,MEDIUM,0.3105,vehicle_crop,5925.504,121.3914,65.0204,0.0,0.7048,0.0,FRONTAL,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_confidence', 'unreadable']",False,,val,images/val/cam01_10008_968_736_162x149.jpg,vehicle_crop,581.638,143.11,79.21,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_confidence|unreadable,adjudicated_proposal,vlm,False,p000008
cam01_10011_407_655_150x108,cam01,10011,D:\tessttt\testttttt\reports\deep\frames\cam01_0011.jpg,"[120.8, 51.1, 129.0, 53.6]",8.2,2.5,20.5,0.0013,3.28,VERY_SMALL,0.5501,vehicle_crop,4454.0,102.1667,25.7061,0.0,0.5154,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'low_contrast', 'unreadable']",False,,val,images/val/cam01_10011_407_655_150x108.jpg,vehicle_crop,661.404,131.82,77.45,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|low_contrast|unreadable,adjudicated_proposal,vlm,False,p000010
cam01_10011_860_540_151x168,cam01,10011,D:\tessttt\testttttt\reports\deep\frames\cam01_0011.jpg,"[57.2, 130.9, 70.5, 135.7]",13.3,4.8,63.84,0.0025,2.7708,SMALL,0.375,vehicle_crop,1795.2133,111.9077,26.5085,0.0,0.5368,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_contrast', 'unreadable']",False,,val,images/val/cam01_10011_860_540_151x168.jpg,vehicle_crop,661.404,131.82,77.45,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_contrast|unreadable,adjudicated_proposal,vlm,False,p000011
cam01_10011_996_537_274x395,cam01,10011,D:\tessttt\testttttt\reports\deep\frames\cam01_0011.jpg,"[109.1, 324.4, 143.4, 337.1]",34.3,12.6,432.18,0.004,2.7222,MEDIUM,0.2774,vehicle_crop,3791.019,108.1606,51.7086,0.0,0.6587,0.0,FRONTAL,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['low_confidence', 'unreadable']",False,,val,images/val/cam01_10011_996_537_274x395.jpg,vehicle_crop,661.404,131.82,77.45,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,low_confidence|unreadable,adjudicated_proposal,vlm,False,p000012
cam01_10012_407_653_149x110,cam01,10012,D:\tessttt\testttttt\reports\deep\frames\cam01_0012.jpg,"[120.8, 52.9, 129.0, 55.8]",8.2,3.0,24.6,0.0015,2.7333,VERY_SMALL,0.4559,vehicle_crop,3739.0151,86.9259,30.2862,0.0,0.514,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,"['tiny', 'low_contrast', 'unreadable']",False,,val,images/val/cam01_10012_407_653_149x110.jpg,vehicle_crop,655.884,132.12,76.55,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,tiny|low_contrast|unreadable,adjudicated_proposal,vlm,False,p000013
cam01_10012_893_533_119x141,cam01,10012,D:\tessttt\testttttt\reports\deep\frames\cam01_0012.jpg,"[67.0, 109.7, 79.6, 112.7]",12.6,3.0,37.8,0.0023,4.2,SMALL,0.3903,vehicle_crop,5332.8233,90.25,34.7046,0.0,0.5384,,UNKNOWN,False,DAY,1,UNREADABLE_TOO_SMALL,,0.0,['unreadable'],False,,val,images/val/cam01_10012_893_533_119x141.jpg,vehicle_crop,655.884,132.12,76.55,UNKNOWN,UNKNOWN,UNREADABLE_TOO_SMALL,unreadable,adjudicated_proposal,vlm,False,p000014
